Name,Date,Amount lost,Chains,Classification,Technique,Language
TrustedVolumes,1778112000,6700000,Ethereum,Protocol Logic,Forged RFQ Orders,Solidity
SmartCredit,1777852800,72000,Ethereum,Protocol Logic,Flashloan Exploit,Solidity
Sharwa.Finance,1777593600,32850,Arbitrum,Protocol Logic,Oracle Price Manipulation,Solidity
Wasabi Perps,1777507200,5500000,"Ethereum, Base, Berachain, Blast",Protocol Logic,Admin Key Compromised,Solidity
Syndicate,1777420800,380000,Base,Protocol Logic,Commons Bridge Exploit,Solidity
Quant,1777334400,138000,Ethereum,Protocol Logic,Access Control Exploit,Solidity
JUDAO,1777334400,228000,BSC,Protocol Logic,Flashloan Exploit,Solidity
Singularity Finance,1777248000,413000,Base,Protocol Logic,Oracle Misconfiguration Exploit,Solidity
ZetaChain,1777248000,300000,"Ethereum, Base, Polygon, Arbitrum, Avalanche, BSC",Protocol Logic,GatewayEVM Contracts Exploit,Solidity
Purrlend,1777075200,1500000,"MegaETH, Hyperliquid L1",Protocol Logic,Fake Bridge Address,Solidity
Giddy,1776902400,1300000,Ethereum,Protocol Logic,Incomplete EIP-712 Signature Coverage,Solidity
Kipseli,1776816000,80000,Base,Protocol Logic,Flawed Quoting Logic,Solidity
Thetanuts Finance,1776643200,50000,Ethereum,Protocol Logic,First Depositor Attack,Solidity
Juicebox V3,1776643200,52000,Ethereum,Protocol Logic,borrowFrom Spoof Attack,Solidity
Rhea Lend,1776297600,18400000,Near,Protocol Logic,Fake Collateral Exploit,Solidity
MONA,1776038400,60950,BSC,Protocol Logic,BurnAddress Accounting Exploit,Solidity
Dango,1776038400,410000,Dango,Protocol Logic,Donate Negative Amounts Hack,Solidity
SubQuery Network,1775952000,60000,Base,Protocol Logic,Acces Control Exploit,Solidity
Hyperbridge,1775952000,2500000,"Ethereum, Base, BSC, Arbitrum",Protocol Logic,Fake State Proof,Solidity
Aethir,1775692800,423000,BSC,Protocol Logic,Acces Control Exploit,Solidity
BSC TMM/USDT,1775260800,1665000,BSC,Protocol Logic,Reserve Manipulation Attack,Solidity
Silo V2,1775174400,392000,Arbitrum,Protocol Logic,Misconfigured Oracle Exploit,Solidity
LML/USDT staking protocol,1774915200,950000,BSC,Protocol Logic,Price Manipulation Attack,Solidity
Cyrus Finance,1774137600,5000000,BSC,Protocol Logic,Flashloan Pool Shares Exploit,Solidity
dTRINITY dLEND,1773705600,257000,Ethereum,Protocol Logic,Deposit Inflation Attack,Solidity
Venus Core Pool,1773532800,3700000,BSC,Protocol Logic,Donation Attack,Solidity
Goose Finance,1773446400,8435,BSC,Protocol Logic,Share Accounting Flaw,Solidity
Aave V3,1773273600,862000,Ethereum,Ecosystem,CAPO Oracle Misconfiguration,Solidity
Stake DAO,1773273600,176000,"Arbitrum, Base",Protocol Logic,Oracle Message Spoofing,Solidity
Gondi V3,1773014400,230000,Ethereum,Protocol Logic,PurchaseBundler Exploit,Solidity
Molt EVM,1772841600,127000,Base,Protocol Logic,onlySpawnerToken Modifier Hack,Solidity
SolvBTC,1772755200,2700000,Ethereum,Protocol Logic,Mint Reserves Logic Exploit,Solidity
Curve LlamaLend,1772409600,240000,Ethereum,Protocol Logic,Donation Attack,Solidity
FOOM Cash,1772409600,2260000,"Ethereum, Base",Protocol Logic,Fake Proof Spam,Solidity
Wise Lending V2,1772236800,66000,"Arbitrum, Ethereum",Protocol Logic,Flashloan Exploit,Solidity
Ploutos Money,1772064000,390000,Ethereum,Protocol Logic,Misconfigured Oracle Exploit,Solidity
DGLD,1771804800,0,Base,Protocol Logic,Infinite Mint and Dump,Solidity
Veil Cash,1771632000,5000,Base,Protocol Logic,misconfigured Groth16 verifier,Solidity
Moonwell Lending,1771113600,1780000,Base,Protocol Logic,cbETH Collateral Exploit,Solidity
Revert Lend,1769644800,50000,Base,Protocol Logic,Staked Collateral Exploit,Solidity
Matcha,1769299200,13430000,"Base, Ethereum",Protocol Logic,Unlimited Approval Exploit,Solidity
Aperture LM,1769299200,3200000,"Ethereum, Base, BSC",Protocol Logic,,Solidity
Saga,1768953600,7000000,Saga,Protocol Logic,Infinite Mint and Dump,Solidity
Makina,1768780800,4200000,Ethereum,Protocol Logic,Flashloan Price Oracle Attack,Solidity
