name,date,amount_usd,chain,original_classification,original_technique,vulnerability_class,layer,exploitability,confidence,notes,keep,keep_reason,sources
SmartCredit,1777852800,72000,Ethereum,Protocol Logic,Flashloan Exploit,other,protocol_logic,direct_drain,low,"research inconclusive: SmartCredit Leveraged Lido module mentioned as exploited but no detailed postmortem found",yes,Likely contract bug in leveraged Lido module but root cause unverified,
Wasabi Perps,1777507200,5500000,"Ethereum, Base, Berachain, Blast",Protocol Logic,Admin Key Compromised,access_control,protocol_logic,privilege_escalation,high,"Deployer key compromise; attacker granted ADMIN_ROLE to malicious helper, used UUPS upgrade to replace vault impl and drain funds",no,Off-chain key compromise (deployer EOA); no contract bug — UUPS worked as designed,https://thedefiant.io/news/hacks/wasabi-protocol-hack|https://news.bitcoin.com/wasabi-protocol-loses-5m-after-attacker-seizes-deployer-admin-key-across-3-chains/
Syndicate,1777420800,380000,Base,Protocol Logic,Commons Bridge Exploit,access_control,protocol_logic,privilege_escalation,high,"Private key for bridge upgrader leaked from password manager; attacker upgraded bridge proxy to malicious impl and minted/drained SYND",no,Private key leak / opsec failure not a Solidity contract bug,https://crypto.news/syndicate-labs-suffers-380k-synd-bridge-exploit-pledges-full-user-compensation/
JUDAO,1777334400,228000,BSC,Protocol Logic,Flashloan Exploit,oracle_manipulation,protocol_logic,direct_drain,medium,"Flashloan-funded price manipulation of PancakeSwap V2 BUSD-JUDAO pair; protocol used spot reserves as price source",yes,On-chain price-oracle vulnerability,https://x.com/exvulsec/status/2048947737568432328
Gondi V3,1773014400,230000,Ethereum,Protocol Logic,PurchaseBundler Exploit,access_control,solidity_source,direct_drain,high,"PurchaseBundler in Sell&Repay omitted msg.sender/owner check, letting attacker reuse victims' setApprovalForAll to transferFrom NFTs",yes,Missing authorization check in Solidity contract,https://dev.to/cryip/gondi-nft-lending-platform-hack-a-detailed-report-489c|https://blog.autosec.dev/security-events/NFT-lending-agreement-Gondi-was-hacked/
Wise Lending V2,1772236800,66000,"Arbitrum, Ethereum",Protocol Logic,Flashloan Exploit,oracle_manipulation,protocol_logic,direct_drain,medium,"Wise Lending repeated victim of flashloan-driven share-price/oracle manipulation via stETH/ETH peg swing in pool oracle",yes,Oracle/share-price manipulation vector,https://medium.com/@astrasec/wiselending-hack-root-cause-analysis-1a2762f52298
Veil Cash,1771632000,5000,Base,Protocol Logic,misconfigured Groth16 verifier,zk_circuit_bug,solidity_source,direct_drain,high,"Groth16 verifier delta2==gamma2==G2 generator (trusted setup skipped/placeholder); pairing trivially satisfied so any proof valid",yes,On-chain ZK verifier misconfiguration enables forged proofs,https://rekt.news/the-unfinished-proof|https://blog.zksecurity.xyz/posts/groth16-setup-exploit/
Revert Lend,1769644800,50000,Base,Protocol Logic,Staked Collateral Exploit,other,protocol_logic,direct_drain,low,"research inconclusive: no specific postmortem located; Revert V3Vault uses UniV3 LP collateral, possibly fee/valuation issue",yes,Likely Solidity-level vault accounting bug,
Aperture LM,1769299200,3200000,"Ethereum, Base, BSC",Protocol Logic,,access_control,solidity_source,direct_drain,high,"Arbitrary-call vuln in 0x67b34120(); user-controlled target+calldata in low-level call abused victims' ERC20/NFT approvals via transferFrom",yes,Missing target/selector validation in Solidity,https://blocksec.com/blog/17m-closed-source-smart-contract-exploit-arbitrary-call-swapnet-aperture|https://blog.solidityscan.com/aperture-finance-hack-analysis-22dca439ff33
Polycule,1767744000,230000,Polygon,Protocol Logic,,other,integration,direct_drain,high,"Off-chain custodial Telegram bot: SSRF via URL parsing + forged copy-trade signals + reversibly-encrypted private keys on backend",no,Off-chain backend compromise of custodial bot — not a Solidity contract bug,https://bullrank.io/polymarket-trading-bots/polycule|http://www.rootdata.com/news/503763
Panoptic V1.1,1756080000,0,"Base, Unichain, Ethereum",Protocol Logic,,accounting_error,solidity_source,direct_drain,high,"Position-list fingerprint used XOR; hash collisions allowed spoofing position ownership and bypassing collateral checks (whitehat rescue)",yes,Solidity bug in position accounting; whitehat saved funds,https://panoptic.xyz/blog/position-spoofing-post-mortem
PRXVT,1767225600,97000,Base,Protocol Logic,Sybil Attack with CREATE2 Addresses,other,tokenomics,dilution,low,"research inconclusive: details thin; reportedly used CREATE2 to deterministically generate many addresses to bypass per-address claim caps",yes,Tokenomics/airdrop sybil exploit on-chain,
Yearn Ether,1764460800,9000000,Ethereum,Protocol Logic,yETH stablepool Exploit,accounting_error,protocol_logic,direct_drain,high,"Unchecked arithmetic + cached-supply desync in _calc_supply; bootstrap path re-entered with 16 wei minted 2.35e56 yETH LP via underflow",yes,Solidity arithmetic/accounting bug in stableswap solver,https://research.checkpoint.com/2025/16-wei/|https://www.quillaudits.com/blog/hack-analysis/yearn-9m-exploit
Hyperdrive HL,1758931200,773000,Hyperliquid L1,Protocol Logic,Router Exploit,access_control,solidity_source,direct_drain,high,"Router accepted arbitrary calls to whitelisted contracts with users' excessive approvals; attacker triggered repeated transferFrom drains",yes,Missing call-target/selector restriction in router contract,https://www.theblock.co/post/372662/hyperliquid-based-hyperdrive-loses-782000-after-smart-contract-exploit
Coinbase,1755043200,300000,Ethereum,Ecosystem,MEV composability attack,access_control,integration,direct_drain,high,"Coinbase fee wallet granted ERC20 allowances to permissionless 0x Settler contract; MEV bot used those allowances to transferFrom and swap",no,Off-chain ops mistake (approval to wrong address); no contract bug,https://research.blockscope.co/coinbase-approval-exploit|https://www.coindesk.com/markets/2025/08/14/coinbase-loses-usd300k-in-mev-exploit-after-misstep-with-0x-swapper-contract
numa.,1754784000,320000,Sonic,Protocol Logic,NumaVault Exploit,accounting_error,protocol_logic,direct_drain,high,"VaultManager collateral-valuation flaw: flash-mint of nuBTC inflated synthValueInEth, undercollateralizing cNuma users for liquidation",yes,Solidity accounting bug enabling self-liquidation profit,https://www.certik.com/blog/numa-incident-analysis|https://blog.verichains.io/p/numa-incident-analysis
Usual USD0,1748304000,43000,Ethereum,Protocol Logic,Arbitration Exploit,accounting_error,protocol_logic,direct_drain,high,"USD0++ unwrap to USD0 at fixed 1:1 in vault while DEX price diverged; capped arbitrage drained vault profit margin",yes,On-chain pricing/design oversight in vault unwrap,https://quadrigainitiative.com/casestudy/usualmoneyusdssyncvaultpricingarbitrageexploit.php
