name,date,amount_usd,chain,original_classification,original_technique,vulnerability_class,layer,exploitability,confidence,notes
Moola Market,1666051200,8400000,Celo,Ecosystem,Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Price oracle manipulation against lending market collateral.
TempleDAO,1665446400,2300000,Ethereum,Protocol Logic,Exploit Lack of Input Authentication,access_control,solidity_source,direct_drain,high,Missing access control on migrate function allowed arbitrary withdrawals.
Sovryn,1664841600,1100000,RSK,Protocol Logic,Flashloan Reentrancy Attack,reentrancy,solidity_source,direct_drain,high,Reentrancy via flashloan into lending pool.
Transit Swap,1664668800,21000000,"Ethereum, BSC",Protocol Logic,Transfer Logic Exploit,access_control,solidity_source,direct_drain,high,Unchecked transferFrom callee allowed draining approvals.
GMX V1 Perps,1663459200,565000,Arbitrum,Ecosystem,Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Spot oracle abuse on perps pricing.
Nomad,1659312000,190000000,Ethereum,Protocol Logic,Trusted Root Exploit,initialization_bug,solidity_source,direct_drain,high,Initialization set zero trusted root making any message valid.
Audius,1658707200,6000000,Ethereum,Protocol Logic,Malicious Governance Proposal,initialization_bug,proxy_storage,governance_capture,high,Proxy storage collision in initializer enabled hostile gov takeover.
Inverse Finance Frontier,1655337600,5800000,Ethereum,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Flashloan-driven oracle manipulation on lending collateral.
Gym Network,1654646400,2100000,BSC,Protocol Logic,Deposit Function Exploit,access_control,solidity_source,direct_drain,medium,Deposit function lacked validation enabling unauthorized credit.
Fortress Loans,1651968000,3000000,BSC,Protocol Logic,Governance and Oracle Exploit,oracle_manipulation,protocol_logic,direct_drain,high,Governance manipulated oracle to drain lending pool.
Rari Capital,1651363200,80000000,"Ethereum, Arbitrum",Ecosystem,Flashloan Reentrancy Attack,reentrancy,solidity_source,direct_drain,high,Fuse pool reentrancy via cross-function callback.
Saddle Finance,1651276800,11000000,Ethereum,Ecosystem,Flashloan Swap Logic Exploit,accounting_error,protocol_logic,direct_drain,medium,Swap logic miscalculation exploited via flashloan.
DEUS Finance,1651104000,13400000,Fantom,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Flashloan-manipulated DEX-spot oracle.
Beanstalk,1650153600,181000000,Ethereum,Ecosystem,Flashloan Governance Attack,authz_bypass,protocol_logic,governance_capture,high,Flashloan-bought governance executed malicious proposal in same block.
Elephant Money,1649721600,22200000,BSC,Ecosystem,Flashloan Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Flashloan price oracle manipulation.
Inverse Finance Frontier,1648857600,15600000,Ethereum,Ecosystem,Price Oracle Attack,oracle_manipulation,protocol_logic,direct_drain,high,Manipulated INV/DOLA oracle to drain market.
Ola Finance,1648684800,4000000,Fuse,Smart Contract Language,Reentrancy,reentrancy,solidity_source,direct_drain,high,Compound-fork reentrancy on tokens with hooks.
Revest Finance,1648339200,2010000,Ethereum,Smart Contract Language,Reentrancy,reentrancy,solidity_source,direct_drain,high,ERC1155 mint callback reentrancy.
Agave,1647302400,5500000,Gnosis Chain,Ecosystem,Flashloan Reentrancy Attack,reentrancy,solidity_source,direct_drain,high,ERC677 transferAndCall reentrancy in Aave fork.
Hundred Finance,1647302400,6200000,Gnosis Chain,Ecosystem,Flashloan Reentrancy Attack,reentrancy,solidity_source,direct_drain,high,Compound-fork reentrancy on ERC677 callbacks.
Paraluni Masterchef,1647129600,1700000,BSC,Ecosystem,Flashloan Reentrancy Attack,reentrancy,solidity_source,direct_drain,high,Reentrancy in masterchef deposit accounting.
Fantasm Finance,1646784000,2260000,Fantom,Protocol Logic,Missing Condition Check,accounting_error,solidity_source,direct_drain,high,Mint accepted unbacked tokens due to missing check.
Treasure,1646265600,1400000,Arbitrum,Protocol Logic,Buy Function Exploit,accounting_error,solidity_source,direct_drain,medium,Marketplace buy function failed to check quantity zero.
Superfluid,1644278400,8700000,Polygon,Protocol Logic,CTX Exploit,authz_bypass,solidity_source,direct_drain,high,Forged ctx in agreement call bypassed host authorization.
